14:00:12:227 -> Mic0:  0.086 Mic1:  0.153 Mic2:  0.202 Mic3:  0.098
14:00:12:327 -> Mic0:  0.143 Mic1:  0.180 Mic2:  0.234 Mic3:  0.154
14:00:12:432 -> Mic0:  0.222 Mic1:  0.165 Mic2:  0.124 Mic3:  0.118
14:00:12:534 -> Mic0:  0.273 Mic1:  1.041 Mic2:  0.385 Mic3:  0.225
14:00:12:633 -> Mic0:  0.187 Mic1:  0.190 Mic2:  0.199 Mic3:  0.138
14:00:12:739 -> Mic0:  0.144 Mic1:  0.258 Mic2:  0.194 Mic3:  0.120
14:00:12:840 -> Mic0:  0.190 Mic1:  0.093 Mic2:  0.140 Mic3:  0.131
14:00:12:940 -> Mic0:  0.181 Mic1:  0.153 Mic2:  0.174 Mic3:  0.134
14:00:13:045 -> Mic0:  0.168 Mic1:  0.189 Mic2:  0.197 Mic3:  0.136
14:00:13:148 -> Mic0:  0.211 Mic1:  0.143 Mic2:  0.140 Mic3:  0.149
14:00:13:247 -> Mic0:  0.232 Mic1:  0.114 Mic2:  0.235 Mic3:  0.144
14:00:13:347 -> Mic0:  0.182 Mic1:  0.171 Mic2:  0.099 Mic3:  0.117
14:00:13:447 -> Mic0:  0.144 Mic1:  0.161 Mic2:  0.151 Mic3:  0.122
14:00:13:551 -> Mic0:  0.210 Mic1:  0.148 Mic2:  0.148 Mic3:  0.122
14:00:13:654 -> Mic0:  0.160 Mic1:  0.133 Mic2:  0.153 Mic3:  0.164
14:00:13:754 -> Mic0:  0.158 Mic1:  0.212 Mic2:  0.157 Mic3:  0.154
14:00:13:857 -> Mic0:  0.123 Mic1:  0.105 Mic2:  0.132 Mic3:  0.162
14:00:13:959 -> Mic0:  0.153 Mic1:  0.077 Mic2:  0.146 Mic3:  0.094
14:00:14:061 -> Mic0:  0.148 Mic1:  0.162 Mic2:  0.222 Mic3:  0.168
14:00:14:164 -> Mic0:  0.134 Mic1:  0.105 Mic2:  0.136 Mic3:  0.178
14:00:14:266 -> Mic0:  0.211 Mic1:  0.226 Mic2:  0.174 Mic3:  0.160
14:00:14:365 -> Mic0:  0.178 Mic1:  0.169 Mic2:  0.234 Mic3:  0.166
14:00:14:466 -> Mic0:  0.220 Mic1:  0.207 Mic2:  0.197 Mic3:  0.137
